Entry	Entry name	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Cross-reference (EMBL)
C4ZXS8	GAL1_ECOBW	Galactokinase (EC 2.7.1.6) (Galactose kinase)	galK BWG_0609	Escherichia coli (strain K12 / MC4100 / BW2952)	382	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00246}.	CP001396;
C4ZSS8	MURA_ECOBW	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA BWG_2891	Escherichia coli (strain K12 / MC4100 / BW2952)	419	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00111}.	CP001396;
C4ZR54	PURA_ECOBW	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA BWG_3889	Escherichia coli (strain K12 / MC4100 / BW2952)	432	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00011}.	CP001396;
C4ZXA5	ISCS_ECOBW	Cysteine desulfurase IscS (EC 2.8.1.7)	iscS BWG_2294	Escherichia coli (strain K12 / MC4100 / BW2952)	404	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00331}.	CP001396;
C4ZQ19	SYS_ECOBW	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS BWG_0745	Escherichia coli (strain K12 / MC4100 / BW2952)	430	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00176}.	CP001396;
C4ZQ33	SERC_ECOBW	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC BWG_0759	Escherichia coli (strain K12 / MC4100 / BW2952)	362	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00160}.	CP001396;
C4ZXK0	GPDA_ECOBW	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA BWG_3299	Escherichia coli (strain K12 / MC4100 / BW2952)	339	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00394}.	CP001396;
C4ZPV2	SYI_ECOBW	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS BWG_0024	Escherichia coli (strain K12 / MC4100 / BW2952)	938	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02002}.	CP001396;
C4ZPU1	DNAJ_ECOBW	Chaperone protein DnaJ	dnaJ BWG_0014	Escherichia coli (strain K12 / MC4100 / BW2952)	376	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01152}.	CP001396;
C5A0J7	E4PD_ECOBW	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	epd BWG_2650	Escherichia coli (strain K12 / MC4100 / BW2952)	339	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01640}.	CP001396;
C4ZXK8	TDH_ECOBW	L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103)	tdh BWG_3307	Escherichia coli (strain K12 / MC4100 / BW2952)	341	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00627}.	CP001396;
C4ZPX8	PDXA_ECOBW	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA BWG_0050	Escherichia coli (strain K12 / MC4100 / BW2952)	329	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00536}.	CP001396;
C5A0V3	ACEK_ECOBW	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	aceK BWG_3672	Escherichia coli (strain K12 / MC4100 / BW2952)	578	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00747}.	CP001396;
C4ZUQ8	PCKA_ECOBW	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)	pckA BWG_3094	Escherichia coli (strain K12 / MC4100 / BW2952)	540	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00453}.	CP001396;
C4ZT68	LPLA_ECOBW	Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase)	lplA BWG_4078	Escherichia coli (strain K12 / MC4100 / BW2952)	338	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01602}.	CP001396;
C4ZSJ8	SYM_ECOBW	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG BWG_1900	Escherichia coli (strain K12 / MC4100 / BW2952)	677	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00098}.	CP001396;
C4ZXC6	GLYA_ECOBW	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA BWG_2315	Escherichia coli (strain K12 / MC4100 / BW2952)	417	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00051}.	CP001396;
C4ZV92	TTCA_ECOBW	tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA)	ttcA BWG_1178	Escherichia coli (strain K12 / MC4100 / BW2952)	311	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01850}.	CP001396;
C4ZT65	DEOB_ECOBW	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	deoB BWG_4075	Escherichia coli (strain K12 / MC4100 / BW2952)	407	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00740}.	CP001396;
C4ZUP4	AROB_ECOBW	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB BWG_3080	Escherichia coli (strain K12 / MC4100 / BW2952)	362	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00110}.	CP001396;
C4ZQY1	TSAD_ECOBW	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp BWG_2775	Escherichia coli (strain K12 / MC4100 / BW2952)	337	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01445}.	CP001396;
C4ZYI1	SYT_ECOBW	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS BWG_1533	Escherichia coli (strain K12 / MC4100 / BW2952)	642	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00184}.	CP001396;
C4ZTJ3	TIG_ECOBW	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig BWG_0318	Escherichia coli (strain K12 / MC4100 / BW2952)	432	SUBCELLULAR LOCATION: Cytoplasm. Note=About half TF is bound to the ribosome near the polypeptide exit tunnel while the other half is free in the cytoplasm. {ECO:0000255|HAMAP-Rule:MF_00303}.	CP001396;
C4ZW66	TREF_ECOBW	Cytoplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	treF BWG_3208	Escherichia coli (strain K12 / MC4100 / BW2952)	549	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01059}.	CP001396;
C4ZUT0	AES_ECOBW	Acetyl esterase (EC 3.1.1.-)	aes BWG_0357	Escherichia coli (strain K12 / MC4100 / BW2952)	319	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01958}.	CP001396;
C4ZVN3	FADI_ECOBW	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI BWG_2114	Escherichia coli (strain K12 / MC4100 / BW2952)	436	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01618}.	CP001396;
C4ZYA0	SYY_ECOBW	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS BWG_1452	Escherichia coli (strain K12 / MC4100 / BW2952)	424	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02006}.	CP001396;
C4ZYY4	MNME_ECOBW	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE trmE BWG_3397	Escherichia coli (strain K12 / MC4100 / BW2952)	454	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00379}.	CP001396;
C4ZZV7	FUCI_ECOBW	L-fucose isomerase (EC 5.3.1.25) (6-deoxy-L-galactose isomerase) (FucIase)	fucI BWG_2540	Escherichia coli (strain K12 / MC4100 / BW2952)	591	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01254}.	CP001396;
C4ZT99	PROB_ECOBW	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB BWG_0224	Escherichia coli (strain K12 / MC4100 / BW2952)	367	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00456}.	CP001396;
C4ZSQ5	PNP_ECOBW	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp BWG_2868	Escherichia coli (strain K12 / MC4100 / BW2952)	711	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01595}.	CP001396;
C5A0C3	ARGE_ECOBW	Acetylornithine deacetylase (AO) (Acetylornithinase) (EC 3.5.1.16) (N-acetylornithinase) (NAO)	argE BWG_3625	Escherichia coli (strain K12 / MC4100 / BW2952)	383	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01108}.	CP001396;
C4ZQ34	AROA_ECOBW	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA BWG_0760	Escherichia coli (strain K12 / MC4100 / BW2952)	427	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00210}.	CP001396;
C4ZRI6	MURC_ECOBW	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC BWG_0086	Escherichia coli (strain K12 / MC4100 / BW2952)	491	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00046}.	CP001396;
C4ZQ50	MUKB_ECOBW	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)	mukB BWG_0776	Escherichia coli (strain K12 / MC4100 / BW2952)	1486	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000255|HAMAP-Rule:MF_01800}. Note=Restricted to the nucleoid region. {ECO:0000255|HAMAP-Rule:MF_01800}.	CP001396;
C5A0V0	METAS_ECOBW	Homoserine O-succinyltransferase (HST) (EC 2.3.1.46) (Homoserine transsuccinylase) (HTS)	metAS BWG_3669	Escherichia coli (strain K12 / MC4100 / BW2952)	309	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00295}.	CP001396;
C4ZWB5	LIPA_ECOBW	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA BWG_0499	Escherichia coli (strain K12 / MC4100 / BW2952)	321	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00206}.	CP001396;
C4ZQF0	SYD_ECOBW	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	aspS BWG_1680	Escherichia coli (strain K12 / MC4100 / BW2952)	590	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00044}.	CP001396;
C4ZPW4	CAIB_ECOBW	L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase)	caiB BWG_0036	Escherichia coli (strain K12 / MC4100 / BW2952)	405	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01050}.	CP001396;
C4ZUE3	RSMB_ECOBW	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	rsmB sun BWG_2979	Escherichia coli (strain K12 / MC4100 / BW2952)	429	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01856}.	CP001396;
C5A1F5	RSGA_ECOBW	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA BWG_3876	Escherichia coli (strain K12 / MC4100 / BW2952)	350	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01820}.	CP001396;
C4ZXI2	SELA_ECOBW	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase)	selA BWG_3281	Escherichia coli (strain K12 / MC4100 / BW2952)	463	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00423}.	CP001396;
C4ZVL3	PDXB_ECOBW	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	pdxB BWG_2094	Escherichia coli (strain K12 / MC4100 / BW2952)	378	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01825}.	CP001396;
C4ZXS1	NADA_ECOBW	Quinolinate synthase A (EC 2.5.1.72)	nadA BWG_0602	Escherichia coli (strain K12 / MC4100 / BW2952)	347	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00567}.	CP001396;
C4ZSR2	ASSY_ECOBW	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG BWG_2875	Escherichia coli (strain K12 / MC4100 / BW2952)	447	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00581}.	CP001396;
C4ZS67	PEPT_ECOBW	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT BWG_0975	Escherichia coli (strain K12 / MC4100 / BW2952)	408	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00550}.	CP001396;
C4ZXV1	UVRB_ECOBW	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB BWG_0632	Escherichia coli (strain K12 / MC4100 / BW2952)	673	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00204}.	CP001396;
C5A0W2	G6PI_ECOBW	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi BWG_3681	Escherichia coli (strain K12 / MC4100 / BW2952)	549	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00473}.	CP001396;
C4ZUS9	HEMH_ECOBW	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH BWG_0356	Escherichia coli (strain K12 / MC4100 / BW2952)	320	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00323}.	CP001396;
C4ZZW1	RLMM_ECOBW	Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM)	rlmM BWG_2544	Escherichia coli (strain K12 / MC4100 / BW2952)	366	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01551}.	CP001396;
C4ZUX4	SYC_ECOBW	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS BWG_0401	Escherichia coli (strain K12 / MC4100 / BW2952)	461	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00041}.	CP001396;
C4ZX98	PEPB_ECOBW	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)	pepB BWG_2287	Escherichia coli (strain K12 / MC4100 / BW2952)	427	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00504}.	CP001396;
C4ZY45	HCP_ECOBW	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	hcp BWG_0726	Escherichia coli (strain K12 / MC4100 / BW2952)	550	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00069}.	CP001396;
C5A0T8	DCUP_ECOBW	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	hemE BWG_3657	Escherichia coli (strain K12 / MC4100 / BW2952)	354	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00218}.	CP001396;
C4ZS30	PLSX_ECOBW	Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX BWG_0938	Escherichia coli (strain K12 / MC4100 / BW2952)	356	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00019}. Note=Associated with the membrane possibly through PlsY. {ECO:0000255|HAMAP-Rule:MF_00019}.	CP001396;
C4ZXE2	GHRB_ECOBW	Glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79) (EC 1.1.1.81)	ghrB BWG_3241	Escherichia coli (strain K12 / MC4100 / BW2952)	324	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01667}.	CP001396;
C4ZRS7	ACCA_ECOBW	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	accA BWG_0177	Escherichia coli (strain K12 / MC4100 / BW2952)	319	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00823}.	CP001396;
C4ZRP7	GSA_ECOBW	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL BWG_0147	Escherichia coli (strain K12 / MC4100 / BW2952)	426	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00375}.	CP001396;
C4ZWF6	SYQ_ECOBW	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS BWG_0540	Escherichia coli (strain K12 / MC4100 / BW2952)	554	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00126}.	CP001396;
C4ZQ48	MUKF_ECOBW	Chromosome partition protein MukF	mukF BWG_0774	Escherichia coli (strain K12 / MC4100 / BW2952)	440	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000255|HAMAP-Rule:MF_01803}. Note=Restricted to the nucleoid region. {ECO:0000255|HAMAP-Rule:MF_01803}.	CP001396;
C4ZRX4	GHRA_ECOBW	Glyoxylate/hydroxypyruvate reductase A (EC 1.1.1.79) (EC 1.1.1.81) (2-ketoacid reductase)	ghrA BWG_0882	Escherichia coli (strain K12 / MC4100 / BW2952)	312	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01666}.	CP001396;
C4ZRJ3	SECA_ECOBW	Protein translocase subunit SecA	secA BWG_0093	Escherichia coli (strain K12 / MC4100 / BW2952)	901	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01382}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01382}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_01382}. Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01382}. Note=Distribution is 50-50. {ECO:0000255|HAMAP-Rule:MF_01382}.	CP001396;
C4ZZ48	RHLB_ECOBW	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	rhlB BWG_3463	Escherichia coli (strain K12 / MC4100 / BW2952)	421	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00661}.	CP001396;
C4ZYH6	SYFA_ECOBW	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS BWG_1528	Escherichia coli (strain K12 / MC4100 / BW2952)	327	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00281}.	CP001396;
C4ZZJ2	RSMF_ECOBW	Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.178) (16S rRNA m5C1407 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmF)	rsmF BWG_1649	Escherichia coli (strain K12 / MC4100 / BW2952)	479	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01579}.	CP001396;
C5A0R1	STHA_ECOBW	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	sthA udhA BWG_3630	Escherichia coli (strain K12 / MC4100 / BW2952)	466	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00247}.	CP001396;
C4ZVX1	RTCA_ECOBW	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4)	rtcA BWG_3113	Escherichia coli (strain K12 / MC4100 / BW2952)	338	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00200}.	CP001396;
C4ZQ04	RSMH_ECOBW	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW BWG_0077	Escherichia coli (strain K12 / MC4100 / BW2952)	313	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01007}.	CP001396;
C4ZPW5	CAIA_ECOBW	Crotonobetainyl-CoA reductase (EC 1.3.8.13) (Crotonobetainyl-CoA dehydrogenase)	caiA BWG_0037	Escherichia coli (strain K12 / MC4100 / BW2952)	380	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01052}.	CP001396;
